Name of the College,State,District,Type,Ownership ,Qualification ,Other Degree,Course
Pakyong Government College,Sikkim,East Sikkim,Co-ed,Government,UG,N/A,B.A.
Pakyong Government College,Sikkim,East Sikkim,Co-ed,Government,UG,N/A,B.Sc
Pakyong Government College,Sikkim,East Sikkim,Co-ed,Government,UG,N/A,B.Com
Singtam Government College,Sikkim,East Sikkim,Co-ed,Government,UG,N/A,B.A.
Singtam Government College,Sikkim,East Sikkim,Co-ed,Government,UG,N/A,B.Sc
Singtam Government College,Sikkim,East Sikkim,Co-ed,Government,UG,N/A,B.Com
Yangang Government College,Sikkim,South Sikkim,Co-ed,Government,UG,N/A,B.A.
Yangang Government College,Sikkim,South Sikkim,Co-ed,Government,UG,N/A,B.Sc
Yangang Government College,Sikkim,South Sikkim,Co-ed,Government,UG,N/A,B.Com
Ravangla Government College,Sikkim,South Sikkim,Co-ed,Government,UG,N/A,B.A.
Ravangla Government College,Sikkim,South Sikkim,Co-ed,Government,UG,N/A,B.Sc
Ravangla Government College,Sikkim,South Sikkim,Co-ed,Government,UG,N/A,B.Com
Sikkim Alpine University,Sikkim,East Sikkim,Co-ed,Private,UG,N/A,B.A.
Sikkim Alpine University,Sikkim,East Sikkim,Co-ed,Private,UG,N/A,B.Sc
Sikkim Alpine University,Sikkim,East Sikkim,Co-ed,Private,UG,N/A,B.H.M.
Sikkim Alpine University,Sikkim,East Sikkim,Co-ed,Private,UG,N/A,B.Com
Sikkim Professional University,Sikkim,East Sikkim,Co-ed,Private,UG,N/A,B.B.A
Sikkim Professional University,Sikkim,East Sikkim,Co-ed,Private,UG,N/A,B.C.A
Sikkim Professional University,Sikkim,East Sikkim,Co-ed,Private,UG,N/A,B.Com
Sikkim Professional University,Sikkim,East Sikkim,Co-ed,Private,UG,N/A,B.Sc
Tashi Namgyal Senior Secondary School (UG Wing),Sikkim,East Sikkim,Co-ed,Private,UG,N/A,B.A.
Tashi Namgyal Senior Secondary School (UG Wing),Sikkim,East Sikkim,Co-ed,Private,UG,N/A,B.Sc
Tashi Namgyal Senior Secondary School (UG Wing),Sikkim,East Sikkim,Co-ed,Private,UG,N/A,B.Com
Central Institute of Technology (UG Programs),Sikkim,East Sikkim,Co-ed,Central Govt,UG,N/A,B.Voc
Central Institute of Technology (UG Programs),Sikkim,East Sikkim,Co-ed,Central Govt,UG,N/A,B.Tech
